"","Country","n","rate"
"46","Syrian Arab Republic",131,0.727777777777778
"20","Korea, Dem. People's Rep.",102,0.566666666666667
"16","Guinea-Bissau",93,0.516666666666667
"19","Kiribati",90,0.5
"32","Nauru",90,0.5
"14","Gambia, The",89,0.494444444444444
"23","Liberia",84,0.466666666666667
"6","Comoros",75,0.416666666666667
"42","Solomon Islands",75,0.416666666666667
"53","Vanuatu",67,0.372222222222222
"49","Timor-Leste",62,0.344444444444444
"28","Micronesia, Fed. Sts.",60,0.333333333333333
"38","Sao Tome and Principe",60,0.333333333333333
"52","Tuvalu",60,0.333333333333333
"22","Lesotho",55,0.305555555555556
"44","South Sudan",50,0.277777777777778
"36","Papua New Guinea",43,0.238888888888889
"54","Yemen, Rep.",40,0.222222222222222
"13","Ethiopia",32,0.177777777777778
"43","Somalia",31,0.172222222222222
"31","Namibia",30,0.166666666666667
"35","Panama",30,0.166666666666667
"9","Djibouti",29,0.161111111111111
"11","Eritrea",29,0.161111111111111
"37","Rwanda",25,0.138888888888889
"41","Sierra Leone",25,0.138888888888889
"48","Tanzania",24,0.133333333333333
"1","Afghanistan",23,0.127777777777778
"10","Equatorial Guinea",19,0.105555555555556
"51","Turks and Caicos Islands",18,0.1
"7","Congo, Dem. Rep.",17,0.0944444444444444
"4","Central African Republic",16,0.0888888888888889
"26","Mali",14,0.0777777777777778
"45","St. Kitts and Nevis",14,0.0777777777777778
"2","Argentina",13,0.0722222222222222
"12","Eswatini",13,0.0722222222222222
"27","Mauritania",13,0.0722222222222222
"34","Palau",13,0.0722222222222222
"3","Benin",12,0.0666666666666667
"17","Indonesia",12,0.0666666666666667
"39","Saudi Arabia",12,0.0666666666666667
"5","Chad",9,0.05
"18","Iran, Islamic Rep.",8,0.0444444444444444
"30","Mozambique",7,0.0388888888888889
"40","Seychelles",7,0.0388888888888889
"24","Madagascar",6,0.0333333333333333
"25","Malawi",5,0.0277777777777778
"8","Congo, Rep.",4,0.0222222222222222
"47","Tajikistan",4,0.0222222222222222
"50","Tonga",4,0.0222222222222222
"15","Guinea",3,0.0166666666666667
"21","Lao PDR",3,0.0166666666666667
"33","Nigeria",3,0.0166666666666667
"55","Zimbabwe",2,0.0111111111111111
"29","Mongolia",1,0.00555555555555556
